File name	Labels			
TAM_MSA_01	POSITIVE			
TAM_MSA_02	POSITIVE			
TAM_MSA_03	POSITIVE			
TAM_MSA_04	HIGHLY POSITIVE			
TAM_MSA_05	NEUTRAL			
TAM_MSA_06	POSITIVE			
TAM_MSA_07	HIGHLY POSITIVE			
TAM_MSA_08	POSITIVE			
TAM_MSA_09	HIGHLY POSITIVE			
TAM_MSA_10	POSITIVE			
TAM_MSA_11	POSITIVE			
TAM_MSA_12	POSITIVE			
TAM_MSA_13	POSITIVE			
TAM_MSA_14	POSITIVE			
TAM_MSA_15	NEUTRAL			
TAM_MSA_16	NEUTRAL			
TAM_MSA_17	HIGHLY NEGATIVE			
TAM_MSA_18	POSITIVE			
TAM_MSA_19	POSITIVE			
TAM_MSA_20	POSITIVE			
TAM_MSA_21	POSITIVE			
TAM_MSA_22	POSITIVE			
TAM_MSA_23	NEUTRAL			
TAM_MSA_24	POSITIVE			
TAM_MSA_25	NEUTRAL			
TAM_MSA_26	HIGHLY NEGATIVE			
TAM_MSA_27	POSITIVE			
TAM_MSA_28	NEGATIVE			
TAM_MSA_29	NEGATIVE			
TAM_MSA_30	POSITIVE			
TAM_MSA_31	POSITIVE			
TAM_MSA_32	POSITIVE			
TAM_MSA_33	HIGHLY POSITIVE			
TAM_MSA_34	POSITIVE			
TAM_MSA_35	HIGHLY NEGATIVE			
TAM_MSA_36	POSITIVE			
TAM_MSA_37	NEUTRAL			
TAM_MSA_38	NEGATIVE			
TAM_MSA_39	POSITIVE			
TAM_MSA_40	POSITIVE			
TAM_MSA_41	POSITIVE			
TAM_MSA_42	NEUTRAL			
TAM_MSA_43	NEGATIVE			
TAM_MSA_44	POSITIVE			
TAM_MSA_45	HIGHLY NEGATIVE			
TAM_MSA_46	HIGHLY POSITIVE			
TAM_MSA_47	NEGATIVE			
TAM_MSA_48	HIGHLY POSITIVE			
TAM_MSA_49	POSITIVE			
TAM_MSA_50	POSITIVE			
TAM_MSA_51	HIGHLY POSITIVE			
TAM_MSA_52	POSITIVE			
TAM_MSA_53	POSITIVE			
TAM_MSA_54	NEUTRAL			
TAM_MSA_55	HIGHLY POSITIVE			
TAM_MSA_56	POSITIVE			
TAM_MSA_57	POSITIVE			
TAM_MSA_58	POSITIVE			
TAM_MSA_59	POSITIVE			
TAM_MSA_60	POSITIVE			
TAM_MSA_61	POSITIVE			
TAM_MSA_62	HIGHLY NEGATIVE			
TAM_MSA_63	POSITIVE			
TAM_MSA_64	POSITIVE			
