file	true_label	predicted_label
MAL_MSA_38	NEUTRAL	NEGATIVE
MAL_MSA_13	NEUTRAL	POSITIVE
TAM_MSA_12	POSITIVE	POSITIVE
TAM_MSA_52	POSITIVE	HIGHLY POSITIVE
MAL_MSA_39	POSITIVE	HIGHLY POSITIVE
TAM_MSA_46	NEUTRAL	POSITIVE
MAL_MSA_48	POSITIVE	POSITIVE
MAL_MSA_21	NEGATIVE	NEGATIVE
MAL_MSA_51	HIGHLY POSITIVE	POSITIVE
TAM_MSA_42	POSITIVE	POSITIVE
MAL_MSA_31	POSITIVE	NEUTRAL
TAM_MSA_40	HIGHLY POSITIVE	POSITIVE
MAL_MSA_06	POSITIVE	POSITIVE
MAL_MSA_49	POSITIVE	HIGHLY POSITIVE
TAM_MSA_07	HIGHLY POSITIVE	POSITIVE
MAL_MSA_27	POSITIVE	POSITIVE
TAM_MSA_27	NEGATIVE	NEGATIVE
MAL_MSA_11	HIGHLY NEGATIVE	POSITIVE
MAL_MSA_23	POSITIVE	POSITIVE
MAL_MSA_42	NEGATIVE	POSITIVE
TAM_MSA_20	POSITIVE	POSITIVE
MAL_MSA_04	POSITIVE	POSITIVE
MAL_MSA_46	POSITIVE	POSITIVE
TAM_MSA_06	POSITIVE	POSITIVE
TAM_MSA_31	POSITIVE	POSITIVE
MAL_MSA_29	POSITIVE	POSITIVE
MAL_MSA_50	POSITIVE	POSITIVE
TAM_MSA_01	POSITIVE	HIGHLY POSITIVE
MAL_MSA_09	HIGHLY POSITIVE	HIGHLY POSITIVE
TAM_MSA_45	NEUTRAL	NEUTRAL
MAL_MSA_24	NEGATIVE	HIGHLY POSITIVE
TAM_MSA_49	HIGHLY NEGATIVE	POSITIVE
TAM_MSA_28	NEGATIVE	POSITIVE
MAL_MSA_05	POSITIVE	POSITIVE
MAL_MSA_36	POSITIVE	HIGHLY POSITIVE
MAL_MSA_30	POSITIVE	POSITIVE
TAM_MSA_24	POSITIVE	NEUTRAL
MAL_MSA_32	NEUTRAL	POSITIVE
TAM_MSA_15	NEUTRAL	POSITIVE
TAM_MSA_26	POSITIVE	POSITIVE
TAM_MSA_03	POSITIVE	POSITIVE
MAL_MSA_15	NEGATIVE	POSITIVE
TAM_MSA_08	POSITIVE	HIGHLY POSITIVE
MAL_MSA_53	POSITIVE	POSITIVE
MAL_MSA_37	HIGHLY POSITIVE	POSITIVE
TAM_MSA_18	POSITIVE	POSITIVE
TAM_MSA_14	POSITIVE	NEGATIVE
TAM_MSA_50	HIGHLY POSITIVE	POSITIVE
TAM_MSA_22	POSITIVE	POSITIVE
MAL_MSA_35	HIGHLY POSITIVE	NEGATIVE
TAM_MSA_02	POSITIVE	HIGHLY POSITIVE
TAM_MSA_13	POSITIVE	POSITIVE
TAM_MSA_21	POSITIVE	POSITIVE
MAL_MSA_18	POSITIVE	POSITIVE
MAL_MSA_54	NEGATIVE	NEGATIVE
TAM_MSA_39	POSITIVE	NEGATIVE
MAL_MSA_02	POSITIVE	POSITIVE
TAM_MSA_34	HIGHLY NEGATIVE	POSITIVE
MAL_MSA_10	NEUTRAL	HIGHLY POSITIVE
TAM_MSA_05	NEUTRAL	NEUTRAL
MAL_MSA_56	NEUTRAL	POSITIVE
MAL_MSA_52	POSITIVE	POSITIVE
MAL_MSA_45	HIGHLY POSITIVE	NEGATIVE
MAL_MSA_58	POSITIVE	POSITIVE
MAL_MSA_12	POSITIVE	POSITIVE
MAL_MSA_19	POSITIVE	NEUTRAL
TAM_MSA_41	POSITIVE	HIGHLY POSITIVE
TAM_MSA_51	POSITIVE	POSITIVE
TAM_MSA_37	POSITIVE	NEUTRAL
MAL_MSA_20	NEGATIVE	POSITIVE
TAM_MSA_54	POSITIVE	POSITIVE
TAM_MSA_38	POSITIVE	POSITIVE
MAL_MSA_47	POSITIVE	POSITIVE
TAM_MSA_48	POSITIVE	POSITIVE
TAM_MSA_32	HIGHLY POSITIVE	POSITIVE
MAL_MSA_33	POSITIVE	NEUTRAL
TAM_MSA_10	POSITIVE	POSITIVE
